Sl. No.,Sports Discipline,2020,2021,2022,2023
1,Aquatics,NA,NA,1,NA
2,Archery,NA,2,NA,NA
3,Athletics,9,16,46,NA
4,Automobile Sports,NA,NA,NA,NA
5,Badminton,NA,NA,NA,NA
6,Para Badminton,NA,1,NA,NA
7,Basketball,1,NA,2,NA
8,Body-building,NA,6,1,NA
9,Bowling,NA,NA,1,NA
10,Boxing,3,NA,2,NA
11,Bridge,NA,NA,1,NA
12,Cricket,1,NA,NA,NA
13,Cycling,NA,NA,1,NA
14,Canoeing,NA,2,NA,1
15,Football,1,NA,2,NA
16,Fencing,1,NA,NA,NA
17,Field Hockey,NA,NA,1,NA
18,Gymnastic,NA,NA,1,NA
19,Judo,NA,1,7,NA
20,Ju-jitsu,NA,NA,NA,NA
21,Kabaddi,7,2,5,NA
22,Karate,NA,NA,1,NA
23,Para-powerlifting,NA,NA,3,NA
24,Para Athletics,NA,NA,2,NA
25,Powerlifting,7,6,6,NA
26,Rowing,NA,NA,NA,NA
27,Rugby Union,NA,1,NA,NA
28,Shooting,1,1,1,NA
29,Para Shooting,NA,NA,1,NA
30,Tennis,NA,NA,NA,NA
31,Taekwondo,1,NA,1,NA
32,Volleyball,1,NA,NA,NA
33,Weightlifting,15,1,15,2
34,Wrestling,6,5,21,NA
35,Wushu,1,2,1,NA
Total,Total,55,46,123,3
